gene	expression	threshold	direction	TH_id	Fay_id
MTATP6P1	8.58477463757	11.2067506313324	down	TH50_5281_S01	Sample 4
MTCH1	4.51032901949	4.54825109243393	down	TH50_5281_S01	Sample 4
MTCP1	0.555816155062	2.58595159649849	down	TH50_5281_S01	Sample 4
MTERF2	1.97819562968	2.40029352903366	down	TH50_5281_S01	Sample 4
MYO15B	2.78659636189	2.95660638809204	down	TH50_5281_S01	Sample 4
NACA	7.43295940728	7.47406876087189	down	TH50_5281_S01	Sample 4
NADSYN1	1.94485844581	2.0107145011425	down	TH50_5281_S01	Sample 4
NASP	2.74631276643	3.12612390518188	down	TH50_5281_S01	Sample 4
NAT9	2.17312743348	2.19252410531044	down	TH50_5281_S01	Sample 4
NBPF15	0.545968369105	0.582310140132904	down	TH50_5281_S01	Sample 4
NDST2	1.25701061821	1.62225392460823	down	TH50_5281_S01	Sample 4
NDUFAF2	3.12598165385	4.24190670251846	down	TH50_5281_S01	Sample 4
NDUFS5	6.73592828428	7.74846255779266	down	TH50_5281_S01	Sample 4
NFIL3	1.70487196446	1.91451686620712	down	TH50_5281_S01	Sample 4
NISCH	2.76765479824	3.01199024915695	down	TH50_5281_S01	Sample 4
NME3	2.7398481027	2.82995468378067	down	TH50_5281_S01	Sample 4
NPIPA1	4.19613488077	4.25004506111145	down	TH50_5281_S01	Sample 4
NPIPP1	2.89724042557	3.28550291061401	down	TH50_5281_S01	Sample 4
NSMF	1.33913738492	1.35510861873627	down	TH50_5281_S01	Sample 4
NUDC	4.32624970084	4.41889292001724	down	TH50_5281_S01	Sample 4
NXF1	3.32481060342	3.693479180336	down	TH50_5281_S01	Sample 4
OSBPL2	2.06004738367	2.09125629067421	down	TH50_5281_S01	Sample 4
PAN2	3.00180224263	3.05763173103333	down	TH50_5281_S01	Sample 4
PDAP1	6.02103547951	6.1835116147995	down	TH50_5281_S01	Sample 4
PDCD5	5.05614996111	5.5819456577301	down	TH50_5281_S01	Sample 4
PDLIM1	5.41345868801	5.65848273038864	down	TH50_5281_S01	Sample 4
PFDN2	4.21412480535	4.95587128400803	down	TH50_5281_S01	Sample 4
PFKFB2	1.06350294231	1.50624269247055	down	TH50_5281_S01	Sample 4
PHKG2	1.75274859141	1.75880172848701	down	TH50_5281_S01	Sample 4
PLIN5	2.14077865578	3.73538988828659	down	TH50_5281_S01	Sample 4
PNISR	4.17472598771	4.44941806793213	down	TH50_5281_S01	Sample 4
PNN	2.40326772234	3.3525927066803	down	TH50_5281_S01	Sample 4
PNPLA2	5.81506301719	5.85948294401169	down	TH50_5281_S01	Sample 4
POLG2	1.52606881167	1.55290171504021	down	TH50_5281_S01	Sample 4
POLR2F	4.266036894	4.5310732126236	down	TH50_5281_S01	Sample 4
POLR2J	4.91312876782	5.45097988843918	down	TH50_5281_S01	Sample 4
POMT1	3.21412480535	3.36628800630569	down	TH50_5281_S01	Sample 4
PPP1R12C	3.08065766335	3.3813738822937	down	TH50_5281_S01	Sample 4
PPP1R3E	1.54596836911	1.63980504870415	down	TH50_5281_S01	Sample 4
PRR34-AS1	3.31469652566	3.60167413949966	down	TH50_5281_S01	Sample 4
PTGES3P1	1.3840498068	1.51977103948593	down	TH50_5281_S01	Sample 4
PXN-AS1	0.722466024471	0.935188174247742	down	TH50_5281_S01	Sample 4
QTRT1	2.6182386556	2.96639269590378	down	TH50_5281_S01	Sample 4
RASSF1	2.08406426479	2.61517384648323	down	TH50_5281_S01	Sample 4
RBM28	2.60644222813	2.96510329842567	down	TH50_5281_S01	Sample 4
RBM6	3.50716034912	3.66922384500504	down	TH50_5281_S01	Sample 4
RHOT2	3.67694435911	4.22767472267151	down	TH50_5281_S01	Sample 4
RNA5SP216	0	1.29469537734985	down	TH50_5281_S01	Sample 4
RP1-178F15.4	0.584962500721	0.662414491176605	down	TH50_5281_S01	Sample 4
RP1-261G23.7	0	3.3936168551445	down	TH50_5281_S01	Sample 4
RP11-1212A22.4	4.7322691995	4.85574233531952	down	TH50_5281_S01	Sample 4
RP11-234B24.6	0.443606651476	0.511999905109406	down	TH50_5281_S01	Sample 4
RP11-286N22.8	3.31903981556	3.57800626754761	down	TH50_5281_S01	Sample 4
RP11-305M3.2	0	1.32952752709389	down	TH50_5281_S01	Sample 4
