gene	expression	threshold	direction	TH_id	Fay_id	count
PKDCC	5.06608919046	5.32531541585922	down	TH50_5178_S01	Sample 1	4
PMM1	1.69599381311	1.72280684113503	down	TH50_5178_S01	Sample 1	1
PNN	2.28392177231	3.3525927066803	down	TH50_5178_S01	Sample 1	6
POLE	1.72246602447	1.75367203354836	down	TH50_5178_S01	Sample 1	1
POLR2J	5.06177619759	5.45097988843918	down	TH50_5178_S01	Sample 1	6
POLR2J3	3.86096279786	3.95657795667648	down	TH50_5178_S01	Sample 1	1
POMT1	3.13750352375	3.36628800630569	down	TH50_5178_S01	Sample 1	5
PPP1R12C	3.08236196956	3.3813738822937	down	TH50_5178_S01	Sample 1	2
PRAF2	1.35049724708	1.46109837293625	down	TH50_5178_S01	Sample 1	1
PSMD13	5.16631374789	5.23476141691208	down	TH50_5178_S01	Sample 1	1
PSPC1	3.19061486021	3.22173017263412	down	TH50_5178_S01	Sample 1	1
RAPGEFL1	0.918386234446	1.34015020728111	down	TH50_5178_S01	Sample 1	3
RASSF1	1.86789646399	2.61517384648323	down	TH50_5178_S01	Sample 1	3
RBM28	2.65764000521	2.96510329842567	down	TH50_5178_S01	Sample 1	2
RBM5	4.17552460109	4.5163978934288	down	TH50_5178_S01	Sample 1	1
RBM6	3.30451104181	3.66922384500504	down	TH50_5178_S01	Sample 1	2
RBPMS	1.80322703643	2.38502809405327	down	TH50_5178_S01	Sample 1	1
RHBDF1	2.48026512205	2.74183619022369	down	TH50_5178_S01	Sample 1	3
RHOT2	3.78031009904	4.22767472267151	down	TH50_5178_S01	Sample 1	4
RNA5SP216	0	1.29469537734985	down	TH50_5178_S01	Sample 1	6
RSRC2	4.16832111574	4.26613706350327	down	TH50_5178_S01	Sample 1	2
RSRP1	2.95977015521	3.29902642965317	down	TH50_5178_S01	Sample 1	3
RTEL1	0.815575428863	1.05547308921814	down	TH50_5178_S01	Sample 1	1
SAFB	3.57410150809	4.00374799966812	down	TH50_5178_S01	Sample 1	2
SAFB2	3.30597052098	3.33646810054779	down	TH50_5178_S01	Sample 1	1
SARNP	4.22032995488	4.54013985395432	down	TH50_5178_S01	Sample 1	4
SAT1	2.84197311893	3.18047040700912	down	TH50_5178_S01	Sample 1	3
SDCCAG3	2.91647664444	2.94870460033417	down	TH50_5178_S01	Sample 1	3
SEC11C	1.76553474636	1.81472209095955	down	TH50_5178_S01	Sample 1	1
SELM	2.54349588343	2.66590386629105	down	TH50_5178_S01	Sample 1	1
SERPING1	3.74738739965	3.96532207727432	down	TH50_5178_S01	Sample 1	1
SFPQ	4.748461233	5.06192123889923	down	TH50_5178_S01	Sample 1	3
SH3BGRL3	2.07382023329	2.44196581840515	down	TH50_5178_S01	Sample 1	2
SH3BP5-AS1	1	1.65267986059189	down	TH50_5178_S01	Sample 1	2
SHC2	0.948600847493	0.950322926044464	down	TH50_5178_S01	Sample 1	1
SHFM1	3.34908214639	5.57123708724976	down	TH50_5178_S01	Sample 1	6
SLC25A27	1.89530262133	1.90598213672638	down	TH50_5178_S01	Sample 1	1
SLCO4A1	0.565597175854	1.40261840820312	down	TH50_5178_S01	Sample 1	4
SLX1A	1.53605290024	1.81014040112495	down	TH50_5178_S01	Sample 1	1
SMIM3	0.963474123975	1.17755571007729	down	TH50_5178_S01	Sample 1	1
SNHG6	5.55397480824	6.25404191017151	down	TH50_5178_S01	Sample 1	6
SNN	3.08915913191	3.57621598243713	down	TH50_5178_S01	Sample 1	4
SNRNP35	3.97085365434	4.07291668653488	down	TH50_5178_S01	Sample 1	2
SNRNP70	5.48703608003	5.7696025967598	down	TH50_5178_S01	Sample 1	4
SNRPE	4.00270252038	4.04843777418137	down	TH50_5178_S01	Sample 1	5
SNRPF	2.12101540096	2.34266364574432	down	TH50_5178_S01	Sample 1	4
SPCS2P4	1.19534759832	1.55860850214958	down	TH50_5178_S01	Sample 1	6
SRP19	2.6530600171	3.91175419092178	down	TH50_5178_S01	Sample 1	6
SRRM2	6.78659636189	7.1804541349411	down	TH50_5178_S01	Sample 1	3
SRSF11	4.28835856219	4.791339635849	down	TH50_5178_S01	Sample 1	4
SRSF3	4.89093302171	5.00891947746277	down	TH50_5178_S01	Sample 1	2
SRSF5	5.51349074559	6.20713806152344	down	TH50_5178_S01	Sample 1	4
SRSF9	3.28835856219	3.38616454601288	down	TH50_5178_S01	Sample 1	2
SSB	3.65191274465	3.68129825592041	down	TH50_5178_S01	Sample 1	2
SSR4	4.55213110825	4.67280930280685	down	TH50_5178_S01	Sample 1	1
SSSCA1	3.95046841415	4.21805787086487	down	TH50_5178_S01	Sample 1	6
ST13P15	0	0.0191154181957245	down	TH50_5178_S01	Sample 1	1
